latitude,surface_temperature_1980_2000,20m_temperature_1980_2000,surface_nitrate_1980_2000,20m_nitrate_1980_2000,mixed_layer_depth_1980_2000,surface_temperature_2080_2100,20m_temperature_2080_2100,surface_nitrate_2080_2100,20m_nitrate_2080_2100,mixed_layer_depth_2080_2100
-89.5,,,,,,,,,,
-88.5,,,,,,,,,,
-87.5,,,,,,,,,,
-86.5,,,,,,,,,,
-85.5,,,,,,,,,,
-84.5,,,,,,,,,,
-83.5,,,,,,,,,,
-82.5,,,,,,,,,,
-81.5,,,,,,,,,,
-80.5,,,,,,,,,,
-79.5,,,,,,,,,,
-78.5,,,,,,,,,,
-77.5,,,,,,,,,,
-76.5,,,,,,,,,,
-75.5,-1.6140915,-1.659141702,0.020631487,0.020817756,110.484856,-0.5558804,-0.65412928,0.017664423,0.017769172,82.53439
-74.5,-1.6453032,-1.683425623,0.020699972,0.020878107,94.72111,-0.35476643,-0.451064135,0.017805232,0.017913596,77.867035
-73.5,-1.7445885,-1.751992017,0.021058757,0.021161206,84.19028,-0.1561582,-0.234984408,0.01802567,0.018127805,76.10319
-72.5,-1.7707922,-1.771804565,0.021272002,0.021327567,79.79856,-0.001275229,-0.068927533,0.018279491,0.018367856,75.42726
-71.5,-1.763952,-1.765468843,0.021409068,0.021446773,75.10834,0.09480538,0.03571859,0.01854822,0.018622283,73.3469
-70.5,-1.7470585,-1.749064741,0.021550886,0.021582049,70.49769,0.123570606,0.072219647,0.018855447,0.01891751,70.8141
-69.5,-1.7134492,-1.717864365,0.021692863,0.021724307,67.03299,0.10516871,0.061118576,0.019203499,0.019256788,68.989655
-68.5,-1.6626059,-1.670179233,0.021843418,0.021876341,65.02919,0.070488065,0.032644106,0.019564496,0.019610199,67.824684
-67.5,-1.6008134,-1.611341485,0.022010414,0.02204268,64.041214,0.06203114,0.030449498,0.01990632,0.019943709,67.33827
-66.5,-1.5406494,-1.552645552,0.022177758,0.02220661,63.979347,0.101048894,0.074765884,0.02020087,0.020230536,67.82905
-65.5,-1.483096,-1.495465574,0.022294998,0.022322347,64.65752,0.19040816,0.167764012,0.020421619,0.020446678,69.01925
-64.5,-1.41326,-1.427031608,0.02232531,0.022353894,65.8622,0.3290487,0.309285437,0.02054983,0.020571646,70.50845
-63.5,-1.3215857,-1.336880065,0.022268774,0.022298251,67.64111,0.5224912,0.504572871,0.020584356,0.02060147,72.17438
-62.5,-1.2097448,-1.226355878,0.022164386,0.022194258,69.60581,0.76906765,0.75331443,0.020566177,0.020578057,74.027565
-61.5,-1.0709387,-1.08712536,0.022046482,0.022073991,71.88926,1.1288735,1.115676692,0.020553643,0.020560902,76.845825
-60.5,-0.8736099,-0.887852561,0.02186634,0.021890103,74.75491,1.6333269,1.621993336,0.020505967,0.020510406,80.86068
-59.5,-0.5543468,-0.566672013,0.021574717,0.021594619,78.00203,2.2844,2.273752596,0.020338869,0.020342128,84.796265
-58.5,-0.066646524,-0.076992746,0.021217981,0.021232382,82.57687,3.0754647,3.064951763,0.02002198,0.020024923,87.856514
-57.5,0.63062453,0.621726716,0.020825103,0.02083276,89.9519,4.07698,4.066970599,0.019526985,0.019529962,90.55478
-56.5,1.5781798,1.570177826,0.02031291,0.020316831,99.86515,5.28557,5.276483436,0.018814018,0.018817152,94.13413
-55.5,2.5209844,2.513713012,0.019748705,0.019751561,107.78613,6.2605367,6.252054539,0.018127345,0.018130653,97.15025
-54.5,3.2135499,3.206566983,0.019283658,0.019285843,109.720955,6.892998,6.884154351,0.017644497,0.01764794,96.04022
-53.5,3.76505,3.757630871,0.018882114,0.018884007,107.62585,7.390899,7.380823975,0.017251953,0.017255845,92.19904
-52.5,4.2387586,4.230143389,0.01851467,0.018516766,103.05191,7.8192196,7.80705806,0.016898088,0.016903319,87.036064
-51.5,4.6718016,4.661608457,0.018145459,0.018148047,97.48881,8.234695,8.219523332,0.016480394,0.016488105,81.60104
-50.5,5.1622715,5.150481439,0.017667174,0.017670313,92.3941,8.7702055,8.751436454,0.015778271,0.015789216,77.283356
-49.5,5.8120666,5.798855332,0.016957456,0.016960782,88.33351,9.51884,9.496472863,0.0146151,0.014630486,74.695885
-48.5,6.71675,6.70167652,0.015780564,0.015784747,85.29541,10.553772,10.52834082,0.012819592,0.012841666,73.732285
-47.5,7.8080726,7.789349046,0.014047106,0.014056538,83.42401,11.749425,11.72121149,0.010730662,0.010764011,74.3351
-46.5,8.988638,8.96656944,0.012021887,0.012038513,83.16278,12.964814,12.93377936,0.008834439,0.0088803,76.29559
-45.5,10.2265415,10.2020139,0.009980729,0.010003322,84.90426,14.198556,14.16626999,0.007245166,0.007294893,79.91952
