temp,mu,size,NC,Ea,ctag_max,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,ctag,ctot,vtr,Qc,Qn,cic,vgl,DIN,light,vlb,D,esp,cin,pgl,pld,plb,pre,vri,vd,itag
25,0.001023439,693261.8899,0.199992577,0.61,6.00E+06,0,0.000292583,3.69E+09,0.155809597,3.06E-08,0.032489818,0.040257825,0.246931357,0.076428521,0.032489817,0.038731725,0.032670907,17.30839438,4.29E-05,0,0.155809597,6.97E-05,0.001040215,0.032336096,8.24E-08,0.21066134,0.000124708,1.68E+08,3.35E+07,3030.89139,0.000269467,0.1,300,0.000474061,3.69E+09,0.999995326,124.1846054,7.51E-07,6.44E-08,5.68E-06,1.395853395,6.78E-05,0,0.388479106
25.25,0.422827389,5.10018646,0.176257422,0.61,6.00E+06,84409.30852,31678.95219,4.35E+09,135.5646056,0,0.108906577,0.101788609,0.025806147,0.048864076,0.108268059,0.019041991,0.08732454,2.34E+06,565.0496886,97.87999179,37.6846138,11.87670568,5.86E-31,3.80E+06,5.03E+06,1.03E+08,1658.144008,3.40E+08,3.92E+07,1.25E+06,31678.95219,0.1,300,34604.24102,4.85E+09,0.268590287,65120.6223,86.55020295,3.56E-35,95.29695857,49.15617466,3551.642569,41679.00136,0.68249529
25.5,0.422117196,5.102783019,0.175852466,0.61,6.00E+06,85815.73943,32323.11767,4.35E+09,137.9339921,0,0.1087015,0.103330971,0.026056551,0.048190634,0.108207358,0.01866657,0.086846417,2.34E+06,558.5386732,99.66498362,38.26900849,11.66921954,1.93E-35,3.88E+06,5.20E+06,1.06E+08,1655.28404,3.43E+08,3.92E+07,1.26E+06,32323.11767,0.1,300,35355.39193,4.86E+09,0.269357095,64386.74995,86.58510347,1.15E-39,95.46169549,49.74683975,3553.798893,42936.85377,0.689899927
25.75,0.421288769,5.105461178,0.17543752,0.61,6.00E+06,87252.94176,32982.09462,4.35E+09,140.3523041,0,0.108490642,0.104887446,0.026304306,0.047513016,0.108141449,0.01829436,0.086368781,2.34E+06,552.0246229,101.4899803,38.8623238,11.46435855,7.76E-34,3.96E+06,5.38E+06,1.10E+08,1652.168096,3.46E+08,3.92E+07,1.26E+06,32982.09462,0.1,300,36125.06564,4.88E+09,0.270144502,63657.59427,86.62737685,4.53E-38,95.63564179,50.34202269,3555.452864,44226.41165,0.697241057
26,0.42034214,5.108223025,0.175012408,0.61,6.00E+06,88721.51099,33656.13223,4.36E+09,142.8203095,7.52E-38,0.108273837,0.106457904,0.026549293,0.046831596,0.108070278,0.017925447,0.085891644,2.34E+06,545.5076314,103.3557063,39.46460319,11.26207849,1.38E-29,4.04E+06,5.57E+06,1.13E+08,1648.792351,3.50E+08,3.92E+07,1.26E+06,33656.13223,0.1,300,36913.67363,4.89E+09,0.270952733,62933.09944,86.67671274,7.91E-34,95.81861298,50.94162419,3556.591566,45548.18599,0.704514838
26.25,0.419277463,5.111070705,0.174576958,0.61,6.00E+06,90222.03691,34345.47626,4.36E+09,145.3387595,1.18E-38,0.108050927,0.10804221,0.026791394,0.046146751,0.107993785,0.017559913,0.08541502,2.33E+06,538.9877973,105.2628779,40.07588153,11.06233596,4.25E-31,4.12E+06,5.76E+06,1.17E+08,1645.152967,3.54E+08,3.92E+07,1.27E+06,34345.47626,0.1,300,37721.6262,4.91E+09,0.271782008,62213.2105,86.73279322,2.39E-35,96.01040536,51.54553694,3557.201879,46902.68088,0.711717532
26.5,0.418095012,5.114006425,0.174131005,0.61,6.00E+06,91755.0963,35050.37647,4.36E+09,147.9084041,0,0.107821787,0.109640233,0.027030506,0.045458859,0.107911864,0.017197838,0.084938913,2.33E+06,532.4652236,107.2122081,40.69619592,10.86508846,0,4.21E+06,5.97E+06,1.21E+08,1641.246086,3.57E+08,3.92E+07,1.27E+06,35050.37647,0.1,300,38549.31764,4.92E+09,0.272632546,61497.87611,86.79531252,0,96.21076105,52.15366639,3557.270518,48290.41956,0.718845411
26.75,0.416689708,5.117794365,0.173858181,0.61,6.00E+06,92997.60372,36265.1688,4.36E+09,151.6588294,0,0.108974896,0.111986,0.027896405,0.044721646,0.105494931,0.016830928,0.084095195,2.33E+06,525.8617191,109.6445768,42.01425259,10.67452425,1.60E-31,4.35E+06,6.00E+06,1.22E+08,1636.824123,3.59E+08,3.92E+07,1.25E+06,36265.1688,0.1,300,38574.85309,4.95E+09,0.274051616,60955.11691,88.06377072,8.61E-36,94.42067811,54.03311192,3559.063592,51368.88074,0.7201644
27,0.635839436,0.001082471,1.14E+10,0.61,6.00E+06,2.87E+08,1.24E+08,2.11E+12,484629.596,0,0.117555653,0.114921951,0.030655446,0.06709992,0.066596386,0.021517063,0.081653581,1.10E+10,2.46E+06,354487.5028,130142.0931,42493.88401,0,1.49E+10,6.00E+06,8.95E+10,7.72E+06,3.62E+11,1.75E+10,4.85E+07,1.24E+08,0.1,300,7.79E+07,4.03E+12,-7.53E+10,4.51E+06,295813.0323,0,185604.7806,184893.8001,1.69E+07,1.74E+08,0.000543997
27.25,0.412516017,5.126858997,0.173326095,0.61,6.00E+06,95544.08672,39217.56451,4.37E+09,160.456806,0,0.112100609,0.117191023,0.030009835,0.043112966,0.099333337,0.01606699,0.08218524,2.33E+06,512.5326212,115.2426431,45.21416291,10.30231485,4.66E-37,4.71E+06,6.00E+06,1.24E+08,1626.772268,3.61E+08,3.92E+07,1.20E+06,39217.56451,0.1,300,38171.01625,5.01E+09,0.277559704,59969.68949,91.58800891,2.42E-41,89.88565312,58.76722458,3562.243651,59089.76844,0.720493877
27.5,0.409658205,5.132115398,0.173023011,0.61,6.00E+06,96937.03063,40890.56132,4.37E+09,165.3685801,0,0.113807359,0.119912029,0.031138063,0.04224254,0.096041697,0.015668853,0.081189459,2.33E+06,505.8131095,118.3816829,46.98689719,10.11961409,3.67E-37,4.91E+06,6.00E+06,1.25E+08,1621.146068,3.63E+08,3.92E+07,1.18E+06,40890.56132,0.1,300,37896.43576,5.05E+09,0.279587483,59494.71266,93.65423789,1.87E-41,87.534977,61.4171426,3563.123765,63493.28088,0.720686685
27.75,0.406220942,5.137948004,0.172690595,0.61,6.00E+06,98427.32319,42718.72158,4.38E+09,170.6859323,0,0.115617225,0.122716818,0.032318091,0.041323879,0.092600816,0.015258571,0.0801646,2.32E+06,499.050544,121.7907642,48.89516805,9.939030182,0,5.13E+06,6.00E+06,1.27E+08,1615.088744,3.64E+08,3.92E+07,1.15E+06,42718.72158,0.1,300,37567.25212,5.09E+09,0.281831125,59032.82716,95.95840648,0,85.12164541,64.29054649,3563.485181,68323.37418,0.720901765
28,0.402147262,5.144445457,0.172324489,0.61,6.00E+06,100031.774,44724.45685,4.39E+09,176.468719,7.07E-74,0.117536063,0.125609193,0.033553413,0.040353367,0.08900387,0.014834946,0.079109147,2.32E+06,492.2388617,125.5107121,50.95800693,9.760426297,9.78E-36,5.37E+06,6.00E+06,1.28E+08,1608.572117,3.66E+08,3.93E+07,1.12E+06,44724.45685,0.1,300,37178.10514,5.13E+09,0.284321919,58585.22741,98.53358681,4.79E-40,82.63932324,67.42031658,3563.28392,73640.21107,0.721142473
28.25,0.397372523,5.151716327,0.171919401,0.61,6.00E+06,101771.1182,46934.88023,4.40E+09,182.7896112,2.14E-50,0.11957014,0.128593121,0.034847904,0.03932692,0.085243816,0.014396611,0.078021489,2.32E+06,485.3706562,129.5911805,53.19843072,9.583640886,1.25E-30,5.63E+06,6.00E+06,1.30E+08,1601.562696,3.68E+08,3.93E+07,1.09E+06,46934.88023,0.1,300,36722.91408,5.18E+09,0.287097795,58153.36544,101.4199408,6.01E-35,80.08076441,70.84646743,3562.465033,79516.38497,0.721412908
28.5,0.391822924,5.159895213,0.17146883,0.61,6.00E+06,103671.2121,49383.15926,4.41E+09,189.7378162,1.83E-38,0.121726159,0.131672712,0.036205883,0.038239889,0.081313445,0.013941992,0.07689992,2.31E+06,478.4367743,134.0932362,55.64458003,9.408479565,1.17E-30,5.93E+06,6.00E+06,1.32E+08,1594.020109,3.70E+08,3.94E+07,1.06E+06,49383.15926,0.1,300,36194.73825,5.24E+09,0.290205249,57739.0237,104.666784,5.53E-35,77.43762599,74.6182465,3560.958927,86040.46608,0.721718129
28.75,0.385413622,5.16915127,0.170964692,0.61,6.00E+06,105764.6914,52110.37712,4.42E+09,197.4242052,1.86E-38,0.1240113,0.134852186,0.037632207,0.037086947,0.077205455,0.01346927,0.075742636,2.31E+06,471.4257544,139.0929235,58.33128177,9.234703823,5.64E-31,6.25E+06,6.00E+06,1.34E+08,1585.894905,3.72E+08,3.94E+07,1.03E+06,52110.37712,0.1,300,35585.60068,5.30E+09,0.293701996,57344.41487,108.3354302,2.60E-35,74.70023124,78.79703372,3558.676195,93321.87332,0.722064465
