temp,mu,size,NC,Ea,ctag_max,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,ctag,ctot,vtr,Qc,Qn,cic,vgl,DIN,light,vlb,D,esp,cin,pgl,pld,plb,pre,vri,vd,itag
5,0.067715825,16183.79752,0.199148741,1.05,6.00E+06,58.22436118,14.35129116,3.69E+09,0.134766458,0.000377596,0.333613528,0.000759469,0.16236422,0.000446602,0.002053437,0.000470967,0,383.4260914,0.020125446,0.058461661,0.076304798,0.163798131,52.11095555,1583.192391,43273.41005,702707.4905,1.048983811,1.68E+08,3.35E+07,24874.85233,13.19326992,20,300,1.710105375,3.69E+09,0.999930969,1945.501731,0.518005792,0.04546725,0.094136253,0.1312884,0.460389848,54.76471165,0.579539513
6,0.211216755,16.05109281,0.194724222,1.05,6.00E+06,252796.6795,83470.95509,1.59E+10,358.0073364,0,0.191733862,0.014623294,0.004117074,0.001557597,0.012094891,0.101131215,0.174742066,739269.0727,331.0942688,278.0319837,79.97535276,1159.493803,7.01E-27,1.00E+07,1.74E+06,8.79E+07,18667.12905,8.26E+08,1.61E+08,3.05E+06,83470.95509,20,300,5812.723712,1.74E+10,0.963561671,3.10E+06,2800.995255,5.23E-30,195.6952217,144.1594501,32613.24997,7997.405526,0.701524482
7,0.243623289,15.12170947,0.190936351,1.05,6.00E+06,285790.3421,94494.7969,1.56E+10,402.9744111,0,0.190383176,0.016873532,0.004638454,0.001654757,0.013346231,0.099830855,0.173272996,784914.2613,343.1274576,314.490995,88.48341605,1116.536086,1.74E-25,1.13E+07,1.92E+06,9.87E+07,20914.15575,8.24E+08,1.57E+08,3.00E+06,94494.7969,20,300,7312.340867,1.73E+10,0.957419616,2.93E+06,2713.10679,1.11E-28,210.6500994,158.4354918,36695.20198,10097.09982,0.709435813
8,0.280222992,14.3168574,0.186890977,1.05,6.00E+06,321448.1242,106449.5262,1.53E+10,451.427154,0,0.188868654,0.019433351,0.005219184,0.001753307,0.01471073,0.098386154,0.17162862,829261.3185,353.6289619,353.9479278,97.47922622,1070.312165,0,1.28E+07,2.11E+06,1.10E+08,23288.99252,8.22E+08,1.53E+08,2.95E+06,106449.5262,20,300,9151.895054,1.72E+10,0.950751263,2.75E+06,2617.982299,0,225.8425401,173.4004911,41054.6872,12687.33766,0.717874961
9,0.321367178,13.62527603,0.182600218,1.05,6.00E+06,359668.4686,119314.5431,1.49E+10,503.223715,0,0.187174629,0.022336635,0.005864209,0.001852345,0.016194817,0.096784816,0.169792549,871585.158,362.3390713,396.3082208,106.9154942,1021.14424,0,1.43E+07,2.32E+06,1.23E+08,25769.0036,8.19E+08,1.49E+08,2.89E+06,119314.5431,20,300,11394.28112,1.70E+10,0.943672546,2.58E+06,2516.269695,0,241.1298412,188.9559387,45662.9417,15863.355,0.726862138
10,0.367385886,13.03679666,0.178079812,1.05,6.00E+06,400303.8039,133056.0504,1.46E+10,558.1636608,0,0.185285055,0.025618738,0.006578259,0.001950798,0.017804073,0.095014771,0.167748306,911171.8684,369.0336764,441.4293497,116.7343111,969.4634718,0,1.60E+07,2.55E+06,1.37E+08,28326.44967,8.16E+08,1.45E+08,2.83E+06,133056.0504,20,300,14110.63193,1.69E+10,0.936338583,2.41E+06,2408.85723,0,256.3626505,204.98523,50483.01671,19733.39716,0.736407046
11,0.418571117,12.54232847,0.173348007,1.05,6.00E+06,443167.4146,147629.3072,1.42E+10,615.996808,0,0.183183786,0.029315944,0.00736562,0.002047419,0.019542849,0.093064602,0.165479779,947347.0663,373.53485,489.1283635,126.8684445,915.7893837,1.11E-29,1.77E+07,2.79E+06,1.51E+08,30929.11916,8.13E+08,1.40E+08,2.77E+06,147629.3072,20,300,17380.863,1.68E+10,0.928936285,2.24E+06,2296.827902,3.83E-33,271.3901017,221.356198,55470.59719,24419.10378,0.746507844
12,0.475156849,12.13387038,0.168424382,1.05,6.00E+06,488041.334,162981.1091,1.38E+10,676.433035,0,0.180854928,0.033464745,0.008229866,0.002140792,0.021413864,0.090924048,0.162971757,979499.1303,375.717641,539.1903977,137.2426373,860.7014833,4.46E-31,1.96E+07,3.05E+06,1.66E+08,33541.10316,8.11E+08,1.35E+08,2.70E+06,162981.1091,20,300,21294.20747,1.66E+10,0.921673065,2.08E+06,2181.395846,1.33E-34,286.0644394,237.9237629,60574.98112,30055.47574,0.757150587
13,0.537295944,11.80453745,0.163328772,1.05,6.00E+06,534683.7793,179051.9732,1.34E+10,739.1511559,0,0.17828324,0.038100959,0.009173558,0.002229346,0.023417817,0.088584542,0.160210538,1.01E+06,375.5127288,591.3764951,147.7746608,804.8071042,1.16E-33,2.15E+07,3.34E+06,1.82E+08,36123.6164,8.09E+08,1.30E+08,2.63E+06,179051.9732,20,300,25949.71293,1.65E+10,0.914763059,1.93E+06,2063.833783,2.96E-37,300.2446752,254.5323241,65740.03366,36790.25534,0.768309045
14,0.605034324,11.54859258,0.158080488,1.05,6.00E+06,582834.8922,195777.5796,1.30E+10,803.8052793,0,0.175454591,0.043258674,0.010197934,0.002311379,0.02555303,0.086039794,0.157184598,1.03E+06,372.9053075,645.4293172,158.3759621,748.7097831,0,2.35E+07,3.65E+06,1.99E+08,38635.78932,8.08E+08,1.25E+08,2.56E+06,195777.5796,20,300,31456.65121,1.64E+10,0.908412592,1.79E+06,1945.401424,0,313.7990307,271.017666,70904.96801,44782.51626,0.779944768
15,0.678283086,11.36147834,0.152697919,1.05,6.00E+06,632220.0342,213089.177,1.26E+10,870.027731,0,0.172356473,0.048969045,0.011302585,0.002385093,0.027815146,0.083286362,0.153885296,1.05E+06,367.9311062,701.0758647,168.9518662,692.9818348,1.35E-29,2.56E+07,3.99E+06,2.17E+08,41035.39459,8.07E+08,1.21E+08,2.49E+06,213089.177,20,300,37934.77112,1.63E+10,0.902806459,1.65E+06,1827.283364,2.57E-33,326.6061429,287.2083287,76004.87511,54200.2355,0.792007286
