temp,mu,size,NC,Ea,ctag_max,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,ctag,ctot,vtr,Qc,Qn,cic,vgl,DIN,light,vlb,D,esp,cin,pgl,pld,plb,pre,vri,vd,itag
5,0.004511404,3460.481889,0.198544021,0.55,6.00E+06,6.945292864,3.955623038,3.69E+09,0.012235279,2.17E-13,0.000388556,0.000329494,0.000329911,0.473550984,0.000359516,0.024770565,0.000270975,477.7163412,9.66E-06,0.007537131,0.004698148,0,6.961318687,456.111248,74192.2153,1.19E+06,0.000859026,1.69E+08,3.35E+07,32949.19007,3.800927067,20,300,3.064037745,3.69E+09,0.999888332,427.4636441,0.051282605,0.002087178,0.05388711,0.01744222,0,4.118115222,0.949560217
5.25,0.510388389,13.18680746,0.173847224,0.55,6.00E+06,512969.321,168615.1333,1.39E+10,661.8285047,0,0.182532021,0.0323467,0.005533019,0.002308806,0.013799286,0.096372427,0.167107741,899664.3757,410.1595101,563.166408,98.66209671,923.4317012,1.13E-29,2.02E+07,1.58E+06,1.47E+08,36847.22004,7.96E+08,1.37E+08,2.76E+06,168615.1333,20,300,14067.13832,1.69E+10,0.936129826,2.41E+06,2228.544906,3.32E-33,186.5965629,161.9143771,65862.05448,15218.93283,0.63731212
5.5,0.51925748,13.10744568,0.173103887,0.55,6.00E+06,519509.554,170821.3323,1.38E+10,670.7864346,0,0.182183396,0.032971036,0.005662092,0.002322431,0.014072305,0.096055233,0.166733509,905171.9876,410.2458791,570.4213557,100.3650789,915.1856637,3.58E-29,2.05E+07,1.62E+06,1.49E+08,37236.25387,7.96E+08,1.37E+08,2.75E+06,170821.3323,20,300,14560.76799,1.69E+10,0.935043549,2.39E+06,2211.705601,1.03E-32,189.2119116,164.7541489,66627.48918,15866.02959,0.641336588
5.75,0.528223568,13.03012662,0.17235642,0.55,6.00E+06,526065.5899,173036.0582,1.38E+10,679.7824706,0,0.181829672,0.033604956,0.005793691,0.002335887,0.014350404,0.095732365,0.166353025,910603.9307,410.2686507,577.6980676,102.084403,906.9052632,1.02E-32,2.08E+07,1.66E+06,1.51E+08,37622.86671,7.95E+08,1.36E+08,2.74E+06,173036.0582,20,300,15070.08473,1.69E+10,0.933956539,2.36E+06,2194.816594,2.86E-36,191.8502239,167.6215139,67391.23482,16537.74622,0.645358878
6,0.537285672,12.95482215,0.171604892,0.55,6.00E+06,532636.1392,175259.0136,1.37E+10,688.8151961,0,0.181470814,0.034248532,0.005927847,0.002349169,0.014633656,0.095403757,0.165966225,915958.27,410.2275664,584.9952952,103.8199009,898.5923766,0,2.10E+07,1.70E+06,1.53E+08,38006.87751,7.95E+08,1.35E+08,2.72E+06,175259.0136,20,300,15595.52604,1.68E+10,0.932869418,2.33E+06,2177.882202,0,194.5114367,170.5161467,68153.00638,17234.87475,0.649378608
6.25,0.546442713,12.88150478,0.170849373,0.55,6.00E+06,539219.912,177489.9036,1.37E+10,697.8831901,0,0.181106784,0.034901836,0.006064588,0.002362268,0.014922134,0.09506934,0.16557305,921233.0984,410.1224009,592.3117937,105.5713964,890.2488928,0,2.13E+07,1.74E+06,1.56E+08,38388.10434,7.95E+08,1.35E+08,2.71E+06,177489.9036,20,300,16137.53973,1.68E+10,0.931782813,2.31E+06,2160.90675,0,197.1954838,173.4377044,68912.51616,17958.22574,0.653395388
6.5,0.555693513,12.81014765,0.170089932,0.55,6.00E+06,545815.6191,179728.4365,1.36E+10,706.9850277,0,0.180737546,0.035564935,0.006203942,0.002375177,0.015215913,0.094729048,0.165173438,926426.5377,409.9529618,599.6463226,107.3387051,881.8767102,0,2.16E+07,1.78E+06,1.58E+08,38766.36457,7.94E+08,1.34E+08,2.70E+06,179728.4365,20,300,16696.58404,1.68E+10,0.930697358,2.28E+06,2143.894575,0,199.9022953,176.3858269,69669.4739,18708.62826,0.657408821
6.75,0.565036794,12.74072457,0.169326637,0.55,6.00E+06,552421.9728,181974.324,1.36E+10,716.1192816,0,0.180363067,0.036237895,0.006345937,0.002387888,0.015515066,0.094382816,0.16476733,931536.7393,409.7190901,606.997647,109.1216346,873.4777348,0,2.18E+07,1.82E+06,1.60E+08,39141.47494,7.94E+08,1.33E+08,2.69E+06,181974.324,20,300,17273.12791,1.68E+10,0.929613691,2.26E+06,2126.850011,0,202.6317983,179.3601363,70423.58685,19486.93003,0.661418505
7,0.574471168,12.67320997,0.168559555,0.55,6.00E+06,559037.6877,184227.2815,1.35E+10,725.2845228,0,0.179983313,0.03692078,0.0064906,0.002400393,0.015819667,0.094030579,0.164354669,936561.8845,409.4206598,614.3645385,110.9199843,865.0538778,0,2.21E+07,1.86E+06,1.62E+08,39513.25165,7.94E+08,1.33E+08,2.68E+06,184227.2815,20,300,17867.65109,1.68E+10,0.928532457,2.23E+06,2109.777391,0,205.3839164,182.3602372,71174.55987,20293.99744,0.665424032
7.25,0.583995142,12.60757894,0.16778875,0.55,6.00E+06,565661.4818,186487.0283,1.34E+10,734.4793211,0,0.17959825,0.03761365,0.006637957,0.002412685,0.016129788,0.093672272,0.163935399,941500.1856,409.0575774,621.7457759,112.7335452,856.6070538,0,2.24E+07,1.91E+06,1.65E+08,39881.51048,7.93E+08,1.32E+08,2.67E+06,186487.0283,20,300,18480.64438,1.67E+10,0.927454299,2.20E+06,2092.681038,0,208.1585695,185.3857159,71922.09552,21130.71554,0.669424986
7.5,0.593607111,12.54380721,0.167014286,0.55,6.00E+06,572292.0772,188753.2878,1.34E+10,743.7022468,0,0.179207848,0.038316565,0.006788032,0.002424754,0.016445502,0.093307833,0.163509465,946349.8856,408.6297823,629.1401464,114.5621004,848.139178,5.87E-30,2.27E+07,1.95E+06,1.67E+08,40246.06687,7.93E+08,1.31E+08,2.66E+06,188753.2878,20,300,19112.6098,1.67E+10,0.926379868,2.18E+06,2075.565257,1.43E-33,210.9556743,188.4361408,72665.89412,21997.98805,0.673420947
7.75,0.603305355,12.48187115,0.166236225,0.55,6.00E+06,578928.2011,191025.7877,1.33E+10,752.9518707,0,0.178812077,0.039029581,0.006940852,0.002436594,0.016766883,0.0929372,0.163076814,951109.2591,408.1372461,636.5464462,116.4054245,839.6521652,2.82E-29,2.29E+07,2.00E+06,1.69E+08,40606.73601,7.93E+08,1.30E+08,2.65E+06,191025.7877,20,300,19764.06077,1.67E+10,0.925309813,2.15E+06,2058.434339,6.74E-33,213.7751435,191.511062,73405.65387,22896.73732,0.677411486
8,0.61308804,12.4217478,0.165454626,0.55,6.00E+06,585568.5861,193304.2604,1.33E+10,762.2267648,0,0.178410906,0.039752751,0.007096438,0.002448195,0.017094002,0.092560314,0.162637394,955776.6127,407.5799723,643.9634812,118.2632837,831.1479269,0,2.32E+07,2.04E+06,1.72E+08,40963.33297,7.93E+08,1.30E+08,2.64E+06,193304.2604,20,300,20435.52234,1.67E+10,0.924244785,2.13E+06,2041.292543,0,216.6168865,194.610011,74141.07087,23827.90428,0.681396171
8.25,0.622953208,12.36341484,0.16466955,0.55,6.00E+06,592211.9712,195588.443,1.32E+10,771.5255037,0,0.178004308,0.040486126,0.007254813,0.00245955,0.017426932,0.092177115,0.162191156,960350.2846,406.9579963,651.3900677,120.135436,822.6283696,2.67E-39,2.35E+07,2.09E+06,1.74E+08,41315.67276,7.93E+08,1.29E+08,2.63E+06,195588.443,20,300,21127.53131,1.67E+10,0.923185433,2.10E+06,2024.144104,6.15E-43,219.4808084,197.7325007,74871.83922,24792.44831,0.685374562
8.5,0.632898783,12.30685059,0.163881051,0.55,6.00E+06,598857.1028,197878.0773,1.31E+10,780.8466643,0,0.177592256,0.041229752,0.007415998,0.002470651,0.017765743,0.091787547,0.161738053,964828.6457,406.2713848,658.8250335,122.0216308,814.0953931,0,2.37E+07,2.14E+06,1.77E+08,41663.57042,7.92E+08,1.28E+08,2.62E+06,197878.0773,20,300,21840.63648,1.67E+10,0.922132406,2.08E+06,2006.993218,0,222.3668108,200.8780252,75597.6511,25791.34714,0.689346215
8.75,0.642922561,12.25203404,0.163089186,0.55,6.00E+06,605502.7344,200172.9102,1.31E+10,790.1888269,0,0.177174724,0.041983675,0.007580014,0.002481489,0.018110507,0.091391552,0.161278039,969210.0987,405.5202356,666.2672176,123.9216093,805.5508886,5.77E-40,2.40E+07,2.19E+06,1.79E+08,42006.84114,7.92E+08,1.28E+08,2.61E+06,200172.9102,20,300,22575.39882,1.66E+10,0.921086351,2.05E+06,1989.844042,1.27E-43,225.2747908,204.0460596,76318.19679,26825.59668,0.693310678
9,0.653022211,12.19894482,0.162294005,0.55,6.00E+06,612147.6283,202472.6938,1.30E+10,799.5505755,0,0.176751688,0.042747937,0.007746879,0.002492055,0.018461294,0.090989077,0.16081107,973493.0792,404.7046768,673.7154716,125.8351039,796.9967363,0,2.43E+07,2.24E+06,1.82E+08,42345.30033,7.92E+08,1.27E+08,2.59E+06,202472.6938,20,300,23332.39162,1.66E+10,0.92004791,2.03E+06,1972.700688,0,228.2046414,207.2360595,77033.16478,27896.21082,0.697267495
9.25,0.663195271,12.14756324,0.161495559,0.55,6.00E+06,618790.5553,204777.1853,1.30E+10,808.930498,0,0.176323124,0.043522574,0.007916611,0.002502342,0.018818173,0.09058007,0.160337106,977676.0547,403.8248668,681.1686597,127.7618384,788.4348048,3.87E-30,2.46E+07,2.29E+06,1.84E+08,42678.76369,7.92E+08,1.26E+08,2.58E+06,204777.1853,20,300,24112.20072,1.66E+10,0.919017723,2.00E+06,1955.567221,8.22E-34,231.1562512,210.4474616,77742.24177,29004.22119,0.701216204
9.5,0.673439147,12.09787024,0.160693896,0.55,6.00E+06,625430.2954,207086.147,1.29E+10,818.327187,0,0.17588901,0.044307623,0.008089225,0.00251234,0.019181213,0.090164481,0.159856108,981757.5255,402.8809939,688.625659,129.701528,779.8669484,0,2.49E+07,2.35E+06,1.87E+08,43007.04733,7.92E+08,1.25E+08,2.57E+06,207086.147,20,300,24915.42466,1.66E+10,0.917996423,1.98E+06,1938.447651,0,234.1295043,213.6796825,78445.11277,30150.67692,0.70515634
