temp,mu,size,NC,Ea,ctag_max,phot,resp,totp,chlvol,ilpd,icbd,ichl,icha,itr,ilpb,irib,irub,clip,ctr,cp,cup,cri,cli,cgu,ctag,ctot,vtr,Qc,Qn,cic,vgl,DIN,light,vlb,D,esp,cin,pgl,pld,plb,pre,vri,vd,itag
5.0,0.12692790333081902,8.994382302829168,0.1943182919129155,1.2,2.0e7,140402.73090655377,46520.27795028848,1.4736178857679264e10,236.26751612772156,0.0,0.19063022542747887,0.010679911800302925,0.0054510792944782935,0.003148836676769057,0.018820295669118792,0.09813353180981937,0.17313611932203268,1.3189242842157208e6,604.8341411357623,154.63124336173428,81.63627276598729,1016.6940429172732,6.131871139219877e-39,5.582433354034618e6,2.275909028236951e6,6.990914457599893e7,10071.765365810048,7.638318244095085e8,1.4777090461053282e8,2.993579573364233e6,46520.27795028848,20.0,300.0,5069.829501926673,1.5500188685941008e10,0.8582607911203607,2.0626471354385049e6,2516.488534741432,7.371114561099104e-42,275.16573017756195,172.47518574832992,17709.75124938146,9180.617060862738,0.6331055797088267
5.25,0.13220849932007758,8.88503982042263,0.19352779884867494,1.2,2.0e7,144948.35043707176,48049.785094306506,1.4617604646389837e10,243.3524808136153,0.0,0.1902770718733794,0.011119485622402196,0.005629695993528082,0.003203555129345177,0.019307935852358016,0.09773099173239605,0.17273126379659104,1.3352445381710576e6,608.7417597493701,159.66850079345093,83.68398002016437,1001.6589739115262,0.0,5.76597421131678e6,2.3285681173202917e6,7.185293514502534e7,10367.457345976929,7.606324039953487e8,1.46427664648927e8,2.9789814036848964e6,48049.785094306506,20.0,300.0,5382.0796996932695,1.540633867559389e10,0.8530642222817428,2.0190511844282544e6,2484.8740746268845,0.0,279.26626775106774,176.21537398764042,18248.596203490648,9764.638363278265,0.635558729737509
5.5,0.13767940668872117,8.780381563189337,0.19273052810663574,1.2,2.0e7,149585.14051541264,49611.875602794324,1.4497939094292988e10,250.56610514828515,0.0,0.18991366583799307,0.011575811398530523,0.005813729908549489,0.0032585788538544228,0.019806237273460765,0.09731753081456264,0.17231444591304906,1.3512502347283245e6,612.419383353991,164.80931496596597,85.7567901823192,986.5031159160853,0.0,5.953425072335318e6,2.3821706690002945e6,7.383528113801661e7,10666.953685472348,7.574166811431813e8,1.4507302096697626e8,2.964164690739224e6,49611.875602794324,20.0,300.0,5711.279721606945,1.5312005173894726e10,0.8478408820720792,1.9760796361757398e6,2452.979631181071,0.0,283.3377303987903,179.98383607042197,18795.71586653092,10382.218317030109,0.6380664624824881
5.75,0.14334562134139706,8.680235641586313,0.19192672001400024,1.2,2.0e7,154313.48122236555,51206.83093117862,1.4377334685306688e10,257.9087040757407,0.0,0.18953977139356162,0.012049434225871368,0.006003294994332191,0.003313876508639873,0.020315274949535604,0.09689294941259777,0.17188539851546164,1.3669311526213896e6,615.8649344951176,170.05431051056996,87.85439356517071,971.2432644547517,1.6569540862889164e-33,6.1448197117414335e6,2.436739582281207e6,7.585675158694792e7,10970.130292891403,7.541920042822087e8,1.4370858739634418e8,2.9491412848326624e6,51206.83093117862,20.0,300.0,6058.217165251961,1.5217347053408459e10,0.842599567420912,1.933749819933795e6,2420.842535378669,1.740750797984895e-36,287.3780554289879,183.7793879060072,19350.971834922468,11035.05236623232,0.6406284224135417
6.0,0.14921214832060534,8.584435872764384,0.19111659653863597,1.2,2.0e7,159133.80910542514,52834.95835534248,1.4255943852456541e10,265.3806804081073,0.0,0.18915515103449013,0.012540910567140004,0.006198503256059407,0.0033694150636712312,0.020835112211137048,0.09645705239191683,0.17144385547558535,1.38227795681531e6,619.0768421457402,175.40418366830502,89.97649673980226,955.8961641396812,0.0,6.340195002641097e6,2.492299438956417e6,7.791796103914925e7,11276.861534472075,7.509657794865038e8,1.423359741647873e8,2.9339232993759112e6,52834.95835534248,20.0,300.0,6423.711300639514,1.5122523521228561e10,0.8373490937810035,1.8920769644792029e6,2388.500024090747,0.0,291.3852940825784,187.60086581745827,19914.22552898315,11724.909205690788,0.6432442004323438
6.25,0.15528399232041565,8.492821801098692,0.19030035975826778,1.2,2.0e7,164046.6221593766,54496.59283371075,1.413391819512109e10,272.9825311832303,0.0,0.18875956585551068,0.013050808094257132,0.006399464421910356,0.0034251597832646026,0.021365800055773335,0.09600964965857894,0.17098955213070496,1.3972821790353842e6,622.0540211689238,180.85970805593442,92.12282312729587,940.4784265208555,0.0,6.539591140045289e6,2.5488765602729823e6,8.001957180463946e7,11587.020435459695,7.477454367673928e8,1.4095677977059987e8,2.9185230472284984e6,54496.59283371075,20.0,300.0,6808.614259665307,1.5027693372458551e10,0.8320982537929512,1.8510742529238758e6,2355.98905018454,0.0,295.3576106036372,191.44712724728285,20485.33858119192,12453.633284571406,0.6459133371608152
6.5,0.1615661475514904,8.405238701667102,0.18947819049975187,1.2,2.0e7,169052.48428029867,56192.098696117704,1.40114077464469e10,280.71485318661814,0.0,0.18835277573687306,0.013579705503411192,0.006606285604981749,0.003481074212352941,0.0219073765097007,0.09555055669805043,0.17052222573462986,1.4119361927925125e6,624.7958496578777,186.4217398536321,94.29311333298608,925.0064535623636,0.0,6.743051843534124e6,2.6064990619854396e6,8.216229605297178e7,11900.478839688833,7.445383984106927e8,1.3957258339509806e8,2.902952979999757e6,56192.098696117704,20.0,300.0,7213.812258883795,1.4933014291337442e10,0.8268557785877629,1.8107528847526112e6,2323.3461052885764,0.0,299.29328054408364,195.31705102674889,21064.173147072266,13223.147337957233,0.6486353261225974
6.75,0.16806358694359422,8.321537566824796,0.18865024715813014,1.2,2.0e7,174152.02919045647,57921.8711577873,1.3888560295292505e10,288.57834764362156,0.0,0.1879345395367652,0.01412819230008396,0.00681907095468783,0.0035371201668161806,0.022459866000348692,0.09507959511985616,0.17004161592144199,1.4262331837075588e6,627.3021446097536,192.0912224105043,96.48712523311725,909.4963671624132,0.0,6.950624538934475e6,2.665196908167613e6,8.434689776428866e7,12217.10752863238,7.413520495716735e8,1.381849379046552e8,2.8872256274955e6,57921.8711577873,20.0,300.0,7640.226855216411,1.483864220433334e10,0.8216303019670234,1.771122151743726e6,2290.607056235343,0.0,303.190688396977,199.20953723426618,21650.59213892416,14035.45494049428,0.6514096167646135
7.0,0.17478125067400235,8.241575076843706,0.18781666468721275,1.2,2.0e7,179345.963846135,59686.337661248064,1.3765520766285906e10,296.5738241082587,0.0,0.18750461529101137,0.014696868552571185,0.007037921297764436,0.003593257728002664,0.023023278740684983,0.09459659320787535,0.16954746518209,1.4401671158416409e6,629.5731363303548,197.86919027966556,98.7046338285931,893.9639450567819,0.0,7.162360519349767e6,2.725001964230981e6,8.65741945437943e7,12536.77630096282,7.38193711314054e8,1.3679536347263417e8,2.871353540161382e6,59686.337661248064,20.0,300.0,8088.816234263934,1.474473068872314e10,0.8164303276553593,1.7321895213673445e6,2257.806995995012,0.0,307.0483246508559,203.12350667704797,22244.45938416877,14892.643076134798,0.6542356172929885
7.25,0.18172403401197074,8.165213555574907,0.18697755375816857,1.2,2.0e7,184635.07134191887,61485.95904949141,1.3642430660110857e10,304.70220357626386,0.0,0.18706276042018574,0.015286344612543377,0.007262933769110524,0.003649445241730945,0.0235976101274113,0.0941013864755171,0.16903951935350092,1.4537326947520724e6,631.609441957347,203.75677269619655,100.94543088006728,878.4245632905984,0.0,7.378315085938969e6,2.7859480495776157e6,8.884505930887567e7,12859.354014348533,7.350706162091407e8,1.3540534184177798e8,2.855349233738291e6,61485.95904949141,20.0,300.0,8560.57653091604,1.4651430438751387e10,0.8112641997411261,1.6939607267875902e6,2224.980109563358,0.0,310.86478235564823,207.05790002880624,22845.639710458807,15796.884717360972,0.6571126972953447
